id,status,from,to,subject,cycle_or_level
HG6_SW_068,kept,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.10,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.10,histoire-géo,"6eme_PR,6e_PR,6eme,6e"
HG6_LN_069,kept,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.9,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.9,histoire-géo,"6eme_PR,6e_PR,6eme,6e"
HG1S_FR_070,kept,PE7-SPTTIC.pdf#p.12,PE7-SPTTIC.pdf#p.12,histoire-géo,7eme_EB
HG1S_EN_071,kept,PE7-SPTTIC.pdf#p.6,PE7-SPTTIC.pdf#p.6,histoire-géo,7eme_EB
HG1S_TSH_072,kept,PE7-SPTTIC.pdf#p.6,PE7-SPTTIC.pdf#p.6,histoire-géo,7eme_EB
HG2S_FR_073,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,histoire-géo,8eme_EB
HG2S_SW_074,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,histoire-géo,8eme_EB
HG2S_KK_075,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.14,histoire-géo,8eme_EB
HG3S_FR_076,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.7,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.7,histoire-géo,1ere_HS
HG3S_EN_077,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.10,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.10,histoire-géo,1ere_HS
HG3S_LN_078,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.10,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.10,histoire-géo,1ere_HS
HG4_FR_079,kept,MEPST_Programmes-Educatifs_4e-Sec_2-HS_SVT.pdf#p.4,MEPST_Programmes-Educatifs_4e-Sec_2-HS_SVT.pdf#p.4,histoire-géo,"4eme_PR,4e_PR,4eme,4e"
HG6_SW_080,kept,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.9,MEPST_Programmes-Educatifs_6e-Sec_4-HS_SVT.pdf#p.9,histoire-géo,"6eme_PR,6e_PR,6eme,6e"
SC1S_FR_081,kept,GUIDE-PE7-SPTTIC.pdf#p.10,GUIDE-PE7-SPTTIC.pdf#p.10,sciences,7eme_EB
SC1S_EN_082,kept,GUIDE-PE7-SPTTIC.pdf#p.12,GUIDE-PE7-SPTTIC.pdf#p.12,sciences,7eme_EB
SC1S_SW_083,kept,GUIDE-PE7-SPTTIC.pdf#p.11,GUIDE-PE7-SPTTIC.pdf#p.11,sciences,7eme_EB
SC1S_LN_084,kept,GUIDE-PE7-SPTTIC.pdf#p.13,GUIDE-PE7-SPTTIC.pdf#p.13,sciences,7eme_EB
SC2S_FR_085,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.15,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.15,sciences,8eme_EB
SC2S_TSH_086,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.15,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.15,sciences,8eme_EB
SC2S_KK_087,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.9,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.9,sciences,8eme_EB
SC2S_FR_088,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.18,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.18,sciences,8eme_EB
SC2S_EN_089,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.20,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.20,sciences,8eme_EB
SC2S_SW_090,kept,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.21,PE8-SVT-16062019_DIPROMAD_MEPSP.pdf#p.21,sciences,8eme_EB
SC3S_FR_091,kept,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.7,MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf#p.7,sciences,1ere_HS
