id,file_path,titre,source_url,langue,grade_level,matiere,type_doc,checksum,licence,ingested,validated,notes
MEPST_GUIDE_PE5_SPTIC.pdf,MEPST GUIDE PE5 SPTIC,Mepst Guide Pe5 Sptic,https://educrdc.cd/programmes,francais,general,sciences,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_Programmes-Educatifs_5e-Sec_3-HS_SPTIC.pdf,MEPST Programmes Educatifs 5e Sec 3 HS SPTIC,Mepst Programmes Educatifs 5E Sec 3 Hs Sptic,https://educrdc.cd/programmes,francais,secondaire,sciences,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_GUIDE_PE5_SVT.pdf,MEPST GUIDE PE5 SVT,Mepst Guide Pe5 Svt,https://educrdc.cd/programmes,francais,general,sciences,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_Programmes-Educatifs_5e-Sec_3-HS_SVT.pdf,MEPST Programmes Educatifs 5e Sec 3 HS SVT,Mepst Programmes Educatifs 5E Sec 3 Hs Svt,https://educrdc.cd/programmes,francais,secondaire,sciences,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_GUIDE_PE4_MATH.pdf,MEPST GUIDE PE4 MATH,Mepst Guide Pe4 Math,https://educrdc.cd/programmes,francais,general,mathematiques,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_Programmes-Educatifs_4e-Sec_2-HS_MATH.pdf,MEPST Programmes Educatifs 4e Sec 2 HS MATH,Mepst Programmes Educatifs 4E Sec 2 Hs Math,https://educrdc.cd/programmes,francais,secondaire,mathematiques,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_GUIDE_PE4_SPTIC.pdf,MEPST GUIDE PE4 SPTIC,Mepst Guide Pe4 Sptic,https://educrdc.cd/programmes,francais,general,sciences,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_Programmes-Educatifs_4e-Sec_2-HS_SPTIC.pdf,MEPST Programmes Educatifs 4e Sec 2 HS SPTIC,Mepst Programmes Educatifs 4E Sec 2 Hs Sptic,https://educrdc.cd/programmes,francais,secondaire,sciences,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_GUIDE_PE4_SVT.pdf,MEPST GUIDE PE4 SVT,Mepst Guide Pe4 Svt,https://educrdc.cd/programmes,francais,general,sciences,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_Programmes-Educatifs_4e-Sec_2-HS_SVT.pdf,MEPST Programmes Educatifs 4e Sec 2 HS SVT,Mepst Programmes Educatifs 4E Sec 2 Hs Svt,https://educrdc.cd/programmes,francais,secondaire,sciences,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_GUIDE_-PE3_MATH.pdf,MEPST GUIDE  PE3 MATH,Mepst Guide  Pe3 Math,https://educrdc.cd/programmes,francais,general,mathematiques,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_Programmes-Educatifs_3e-Sec_1-HS_MATH.pdf,MEPST Programmes Educatifs 3e Sec 1 HS MATH,Mepst Programmes Educatifs 3E Sec 1 Hs Math,https://educrdc.cd/programmes,francais,secondaire,mathematiques,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_GUIDE_PE3_SPTIC.pdf,MEPST GUIDE PE3 SPTIC,Mepst Guide Pe3 Sptic,https://educrdc.cd/programmes,francais,general,sciences,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_Programmes-Educatifs_3e-Sec_1-HS_SPTIC.pdf,MEPST Programmes Educatifs 3e Sec 1 HS SPTIC,Mepst Programmes Educatifs 3E Sec 1 Hs Sptic,https://educrdc.cd/programmes,francais,secondaire,sciences,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_GUIDE_PE3_SVT.pdf,MEPST GUIDE PE3 SVT,Mepst Guide Pe3 Svt,https://educrdc.cd/programmes,francais,general,sciences,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
MEPST_Programmes-Educatifs_3e-Sec_1-HS_SVT.pdf,MEPST Programmes Educatifs 3e Sec 1 HS SVT,Mepst Programmes Educatifs 3E Sec 1 Hs Svt,https://educrdc.cd/programmes,francais,secondaire,sciences,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-3e-Annee-Francais.pdf,Cahier de leleve   3e Annee Francais,Cahier De Leleve   3E Annee Francais,https://educrdc.cd/programmes,francais,secondaire,francais,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_1e-Annee-Francais-oral.pdf,Guide de lenseignant  1e Annee Francais oral,Guide De Lenseignant  1E Annee Francais Oral,https://educrdc.cd/programmes,francais,secondaire,francais,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_2e-Annee-Francais-oral.pdf,Guide de lenseignant  2e Annee Francais oral,Guide De Lenseignant  2E Annee Francais Oral,https://educrdc.cd/programmes,francais,secondaire,francais,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_3e-Annee-Francais.pdf,Guide de lenseignant  3e Annee Francais,Guide De Lenseignant  3E Annee Francais,https://educrdc.cd/programmes,francais,secondaire,francais,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Manuel-de-leleve-_-3e-Annee-Francais.pdf,Manuel de leleve   3e Annee Francais,Manuel De Leleve   3E Annee Francais,https://educrdc.cd/programmes,francais,secondaire,francais,manuel,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-1e-Annee-Lingala.pdf,Cahier de leleve   1e Annee Lingala,Cahier De Leleve   1E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-2e-Annee-Lingala.pdf,Cahier de leleve   2e Annee Lingala,Cahier De Leleve   2E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-leleve-_-3e-Annee-Lingala.pdf,Cahier de leleve   3e Annee Lingala,Cahier De Leleve   3E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_1e-Annee-Lingala.pdf,Guide de lenseignant  1e Annee Lingala,Guide De Lenseignant  1E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Guide-de-lenseignant-_2e-Annee-Lingala.pdf,Guide de lenseignant  2e Annee Lingala,Guide De Lenseignant  2E Annee Lingala,https://educrdc.cd/programmes,lingala,secondaire,general,guide,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
