id,titre,source_url,langue,grade_level,matiere,type_doc,file_path,checksum,licence,ingested,validated,notes,cycle,niveau,source,path
doc_0100,EDUCATION CIVIQUE ET MORALE PRIMAIRE,https://edu-nc.gouv.cd/programmes-scolaires,français,primaire,,guide,autres\education_civique\primaire\EDUCATION-CIVIQUE-ET-MORALE-PRIMAIRE.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\education_civique\primaire\EDUCATION-CIVIQUE-ET-MORALE-PRIMAIRE.pdf
doc_0101,EDUCATION CIVIQUE ET MORALE SECONDAIRE,https://edu-nc.gouv.cd/programmes-scolaires,français,secondaire,,guide,autres\education_civique\secondaire\EDUCATION-CIVIQUE-ET-MORALE-SECONDAIRE.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\education_civique\secondaire\EDUCATION-CIVIQUE-ET-MORALE-SECONDAIRE.pdf
doc_0102,Cahier de lapprenant   Lingala CRS N1,https://edu-nc.gouv.cd/programmes-scolaires,lingala,CRS,,guide,autres\CRS\lingala\Cahier-de-lapprenant-_-Lingala-CRS-N1.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\lingala\Cahier-de-lapprenant-_-Lingala-CRS-N1.pdf
doc_0103,Cahier de lapprenant   Lingala CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,lingala,CRS,,guide,autres\CRS\lingala\Cahier-de-lapprenant-_-Lingala-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\lingala\Cahier-de-lapprenant-_-Lingala-CRS-N2.pdf
doc_0104,Guide de leducateur   Lingala CRS N1,https://edu-nc.gouv.cd/programmes-scolaires,lingala,CRS,,guide,autres\CRS\lingala\Guide-de-leducateur-_-Lingala-CRS-N1.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\lingala\Guide-de-leducateur-_-Lingala-CRS-N1.pdf
doc_0105,Guide de leducateur   Lingala CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,lingala,CRS,,guide,autres\CRS\lingala\Guide-de-leducateur-_-Lingala-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\lingala\Guide-de-leducateur-_-Lingala-CRS-N2.pdf
doc_0106,Livret de lapprenant   Lingala CRS N1,https://edu-nc.gouv.cd/programmes-scolaires,lingala,CRS,,guide,autres\CRS\lingala\Livret-de-lapprenant-_-Lingala-CRS-N1.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\lingala\Livret-de-lapprenant-_-Lingala-CRS-N1.pdf
doc_0107,Manuel de lapprenant   Lingala CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,lingala,CRS,,manuel,autres\CRS\lingala\Manuel-de-lapprenant-_-Lingala-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\lingala\Manuel-de-lapprenant-_-Lingala-CRS-N2.pdf
doc_0108,Cahier de lapprenant   Kiswahili CRS N1,https://edu-nc.gouv.cd/programmes-scolaires,swahili,CRS,,guide,autres\CRS\swahili\Cahier-de-lapprenant-_-Kiswahili-CRS-N1.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\swahili\Cahier-de-lapprenant-_-Kiswahili-CRS-N1.pdf
doc_0109,Cahier de lapprenant   Kiswahili CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,swahili,CRS,,guide,autres\CRS\swahili\Cahier-de-lapprenant-_-Kiswahili-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\swahili\Cahier-de-lapprenant-_-Kiswahili-CRS-N2.pdf
doc_0110,Guide de leducateur   Kiswahili CRS N1,https://edu-nc.gouv.cd/programmes-scolaires,swahili,CRS,,guide,autres\CRS\swahili\Guide-de-leducateur-_-Kiswahili-CRS-N1.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\swahili\Guide-de-leducateur-_-Kiswahili-CRS-N1.pdf
doc_0111,Guide de leducateur   Kiswahili CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,swahili,CRS,,guide,autres\CRS\swahili\Guide-de-leducateur-_-Kiswahili-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\swahili\Guide-de-leducateur-_-Kiswahili-CRS-N2.pdf
doc_0112,Livret de lapprenant   Kiswahili CRS N1,https://edu-nc.gouv.cd/programmes-scolaires,swahili,CRS,,guide,autres\CRS\swahili\Livret-de-lapprenant-_-Kiswahili-CRS-N1.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\swahili\Livret-de-lapprenant-_-Kiswahili-CRS-N1.pdf
doc_0113,Manuel de lapprenant   Kiswahili CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,swahili,CRS,,manuel,autres\CRS\swahili\Manuel-de-lapprenant-_-Kiswahili-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\swahili\Manuel-de-lapprenant-_-Kiswahili-CRS-N2.pdf
doc_0114,Cahier de lapprenant   Ciluba CRS N1,https://edu-nc.gouv.cd/programmes-scolaires,tshiluba,CRS,,guide,autres\CRS\tshiluba\Cahier-de-lapprenant-_-Ciluba-CRS-N1.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\tshiluba\Cahier-de-lapprenant-_-Ciluba-CRS-N1.pdf
doc_0115,Cahier de lapprenant   Ciluba CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,tshiluba,CRS,,guide,autres\CRS\tshiluba\Cahier-de-lapprenant-_-Ciluba-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\tshiluba\Cahier-de-lapprenant-_-Ciluba-CRS-N2.pdf
doc_0116,Guide de leducateur   Ciluba CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,tshiluba,CRS,,guide,autres\CRS\tshiluba\Guide-de-leducateur-_-Ciluba-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\tshiluba\Guide-de-leducateur-_-Ciluba-CRS-N2.pdf
doc_0117,Manuel de lapprenant   Ciluba CRS N2,https://edu-nc.gouv.cd/programmes-scolaires,tshiluba,CRS,,manuel,autres\CRS\tshiluba\Manuel-de-lapprenant-_-Ciluba-CRS-N2.pdf,,MEPSP,2025-08-28,True,Synchronisé avec manifest,,,,autres\CRS\tshiluba\Manuel-de-lapprenant-_-Ciluba-CRS-N2.pdf
